komentar;kategori;
bajingan memek kau diurus anjing;cyberbullying;
bangsat perek murahan kampungan sadar diri woi;cyberbullying;
bencong kok ngaku ngaku perempuan dasar kunyuk bangsat;cyberbullying;
iri bilang babi;cyberbullying;
kampret kok si bajingan makin sombong;cyberbullying;
kontol kau jahannam tai;cyberbullying;
mba pelakor makin kucel saja mirip monyet jelek;cyberbullying;
memek kau bangsat tolol;cyberbullying;
perek mana nih sudah gatal ini kontol bangsat;cyberbullying;
si asu makin kayak asu dasar asu;cyberbullying;
si babi giginya makin tonggos saja jijik;cyberbullying;
syirik saja kau bangsat makanya jangan kampungan;cyberbullying;
woi pelakor memang kau pelacur rendahan brengsek jahannam kau bangsat;cyberbullying;
 ini lagu apaan dangdut apa lagu bocah;cyberbullying;
 kalian tidak usah beli nanti kalian putih tapi kalian miskin;cyberbullying;
ada ya manusia seperti dia padahal jelek banget gila;cyberbullying;
ada yang bulat tapi bukan bakat;tidak cyberbullying;
ada yang gede tapi bukan kepala apa kah itu;tidak cyberbullying;
ada yang nonjol auto klik;tidak cyberbullying;
adele yang punya kekayaan triliunan aja tidak norak;cyberbullying;
adik aku langsung tidur dong dengar lagu ini;tidak cyberbullying;
aduh geli lihatnya mirip babi;cyberbullying;
aduh kayak pelacur saja kak;cyberbullying;
aduh kekeyi kok mirip boneka santet ya;cyberbullying;
ah banci diam kamu;cyberbullying;
ah kamu bohong sahabat kamu minum itu masih gemuk juga;cyberbullying;
ah kontol;cyberbullying;
ah seram kaya sapi;cyberbullying;
aku baru kali ini cari akun kamu karena aku kesal sama postingan gosip yang bilang kamu desain baju sendiri dan ternyata teman mu yang membongkar semua keburukan kamu yang kamu bilang desain baju sama ibu kamu dan setelah video kamu selesai tayang di youtube kamu malah jauhin teman teman yang sudah ngebantuin buat video kamu mereka susah payah buat ngebantuin tapi nilai pertemananmu begitu terus kamu tau apa tentang sahabat itu tau arti sahabat jadi tidak usah kalau di mana ngomong sahabat enek najis tau tidak kenapa si orang kayak gini harus jadi artis heran karya tidak ada yang bagus;cyberbullying;
aku cari lagu pki ketemunya ini;cyberbullying;
aku cari lagu pki yang muncul ini;cyberbullying;
aku cari nih lagu aku tulisnya lagu pki muncul ini paling atas;cyberbullying;
aku dengar lagu ini waktu boker alhamdulillah boker aku jadi lancar terima kasih;cyberbullying;
aku dengarin lagu ini serasa di jahanam;cyberbullying;
aku hujat kamu lama lama gila kamu;cyberbullying;
aku ingin lihat tetek kamu;cyberbullying;
aku itu ingin sekali kayak kak da kyung da kyung aku tidak mau ya mirip sama kamu awokwok;cyberbullying;
aku jadi cowok yang dia pegang aku jijik sekali di pegang kekeyi maaf ya kalau aku ngomong gini;cyberbullying;
aku jijik sama kamu mas aku jijik;cyberbullying;
aku kalau nonton kimi tidak fokus ke permainan nya tapi fokus ke tete nya;cyberbullying;
aku kesini gara gara cari lagu pki ada yang sama;cyberbullying;
aku lagi ngemil langsung keselek bangsat serius tidak berbohong itu muka kayak shockbreaker karatan anjing maaf ya kekeyi cantik gemas;cyberbullying;
aku lg nonton ini adik aku dengar langsung bilang sudah gede masih suka musik odong;cyberbullying;
aku lihat kekeyi lama kelamaan muka nya mirip vexana terus badan nya mirip balmon dan satu lagi kakinya mirip balerick;cyberbullying;
aku mau perkosa kamu;cyberbullying;
aku mimpi buruk nih sahabat tiba bangun tidur terus lihat postingan mu ini langsung kaget banget;cyberbullying;
aku nonton saja merinding saking geli nya aku bayangin itu mas mas yang di sebelah kekeyi jijik;cyberbullying;
aku nyari lagu ini muncul pki;cyberbullying;
aku nyari lagu pki malah muncul ini sih;cyberbullying;
aku senang nonton kalau telanjang jadi sange njir;cyberbullying;
aku suka body goyang nenek nenek nenek nek nek nek nek nek nek nek nyanyi sampai nangis;cyberbullying;
aku tulis lagu pki di youtube malah ketemu kodok zuma ini nyata;cyberbullying;
alah pantat palsu manusia tidak tau diri;cyberbullying;
amit amit lonte dari mana sih;cyberbullying;
amit jabang bayi;cyberbullying;
anak dajjal;cyberbullying;
anda itu apa woi lucintaluna;tidak cyberbullying;
anda sudah gila ya cepat ke rsj;cyberbullying;
anjay;cyberbullying;
anjay geli aku;cyberbullying;
anjay ini mah gila seh;cyberbullying;
anjay medok;cyberbullying;
anjay merasa risih itu laki lakinya;cyberbullying;
anjay nenen nya besar sekali;cyberbullying;
anjay yang dua cowok itu kelihatan jijik;cyberbullying;
anjing;cyberbullying;
anjing itu video gua;cyberbullying;
anjing jijik gue;cyberbullying;
anjing kau bangsat;cyberbullying;
anjing kekeyi gendut jelek sok kaya njir suara jelek maaf;cyberbullying;
anjing mahkluk mars masih idup;cyberbullying;
anjing memang dia;cyberbullying;
anjing suaranya bikin kamera kresek;cyberbullying;
anjir;cyberbullying;
anjir;cyberbullying;
anjir aku kan gamer salah server anjing tolong;cyberbullying;
anjir aku muntah dengar lagu ini;cyberbullying;
anjir aku nungguin videonya;cyberbullying;
anjir clickbait nya gw kira mv nya di post ulang;cyberbullying;
anjir gede nya;cyberbullying;
anjir gegerebekan;cyberbullying;
anjir gila gila;cyberbullying;
anjir ingin gw masukin anjing tuh mulut;cyberbullying;
anjir mukanya laki banget;cyberbullying;
anjir mulutnya disabunin;cyberbullying;
anjir semok banget ;cyberbullying;
anjir pelakor collab dengan pentol women;cyberbullying;
anjrit;cyberbullying;
anjrit tau ga muka lu anjrit;cyberbullying;
anying;cyberbullying;
apa cuma aku yang cari lagu pki tapi yang muncul pertama video ini;cyberbullying;
apa cuma aku yang klik lagu pki di pencarian munculnya ini;cyberbullying;
apa cuma aku yang mikir ini lagu di bazar atau di odong cocok nya;cyberbullying;
apa cuman gw yang geli sama dia;cyberbullying;
apa hanya aku yang mikir kalau dia itu caper padahal najis banget caper;cyberbullying;
apa ini anjir;cyberbullying;
apa itu bulat buket;cyberbullying;
apa mirip sama da kyung nyadar diri;tidak cyberbullying;
apa sih ratu ratu ga jelas sumpah;cyberbullying;
apaan sih anjing kuyang;cyberbullying;
apaan sih ini perempuan sampah;cyberbullying;
apaan sih tidak jelas lu;cyberbullying;
artis papan atas balkon peceren;cyberbullying;
artis papan atas kayak gitu aja bangga muntah gw dengarnya amit amit kali;cyberbullying;
artis papan atas pede banget lu bencong;cyberbullying;
artis papan atas saking atasnya sampai ketendang masuk penjara ;cyberbullying;
artis papan triplek atau papan kematian mas fatah ups;cyberbullying;
artis yang lain lahir dari rahim ibu nya sedangkan ini lahir dari rahim kebo;cyberbullying;
asal kamu pada tahu ya istri aku mutar lagu ini besoknya demam meriang pusing dan mual muntah saran aku ya jangan deh lihat muka atau dengar musiknya kalau tidak mau jadi penyakitan;cyberbullying;
asik lagu nya cocok lah untuk lagu di pasar malam odong ngehibur anak anak;cyberbullying;
astagfirullah lucinta luna mas fatah tidak apa kok lanjutkan aja ga dosa kok kan laki  ;cyberbullying;
astagfirullah sahabat kuping aku rusak ini dengar suara kipas kamu sahabat tidak sekalian aja blower taruh disitu;cyberbullying;
asu lah;cyberbullying;
asu punya teman kayak tai;cyberbullying;
asw jeleknya ngakak anjir;cyberbullying;
aw lonte banget;cyberbullying;
aw suara nya seperti laki laki;cyberbullying;
awas ambrol tuh pantat nya;cyberbullying;
awas pecah itu silikon nya;cyberbullying;
babi jalan haha;cyberbullying;
baca komentar bukannya tambah baik malah tambah kek anjing;cyberbullying;
bacolmu;cyberbullying;
bacot;cyberbullying;
bagus suaranya mirip suara kuntilanak;cyberbullying;
bagus videonya bagus kalau dimasukkan ke post tidak penting;cyberbullying;
kekeyi gendut makin jelek aja deh;cyberbullying;
bajingan kamu tidak pantas hidup didunia;cyberbullying;
banci apa janda;cyberbullying;
banci dasar;cyberbullying;
banci dia aslinya laki;cyberbullying;
banci haha;cyberbullying;
banci lu tidak ngehargain ciptaan tuhan anjing untung operasi nya berhasil kalau tidak mah lu modar anjing;cyberbullying;
banci nya makin tidak tahu diri tolong sadar kampungan banget;cyberbullying;
bandot amat suara nya bang;cyberbullying;
bang bang bang bangsat kau;cyberbullying;
bangsat buat orang orang yang menghina kekeyi bangsat;cyberbullying;
bantet ;cyberbullying;
banyak cakap anjing;cyberbullying;
banyak yang ngiri sama prestasi kekeyi bisa trending hati pada kotor sirik dengan kesuksesan kekeyi semangat;cyberbullying;
bapak loh yang cantiknya dari lahir anjeng;cyberbullying;
baru punya bokong kayak wanita jadinya rakus;cyberbullying;
bayar orangnya dulu kali endorse melulu sudah kecil pelit lagi;cyberbullying;
bayi nya tai;cyberbullying;
bekas jahitan implan teteknya kelihatan;cyberbullying;
belek susunya;cyberbullying;
belum tidur kah tete gede;cyberbullying;
benarin gigi dulu sahabat kemarin dapat uang banyak bukannya buat benarin gigi sama muka;cyberbullying;
bencong;cyberbullying;
bencong banget kalau jalan perempuan asli tidak gitu banget kalau jalan btw badannya badan laki banget itu haha sudah transgender segala tapi pacaran sama perempuan juga;cyberbullying;
bencong harus kuat dikata katain haha;cyberbullying;
bencong jalan nya memang gitu;cyberbullying;
bencong mah bebas;cyberbullying;
bentar aku iseng cari lagu pki kok yang keluar ginian paling atas lagi videonya;cyberbullying;
bentar apa cuma aku yang yang dengar ini kayak lagu odong odong;cyberbullying;
bentar lagi lagu ini diputar di odong odong tempat bermain anak warnet warkop kalau isinya torekan semua;cyberbullying;
bentuk lu kayak ular kadut;cyberbullying;
berani kamu sama yang kecil lawan dulu itu si mami jangan berani bacot di sosial media aja terus ya lunasin itu hutang hutang;cyberbullying;
berapa tahun bertahan silikon mu itu depan belakang lama lama meletus;cyberbullying;
berasa lihat video orang gila anjir sumpah mau gw kubur rasanya tolonglah;cyberbullying;
berkat lagu ini tikus di rumah teman aku lari;cyberbullying;
bersemangat lah kodok zuma mana tahu di rekrut blackpink;cyberbullying;
beruntungnya diciptakan jadi perempuan asli ga bakal kepikiran nepok memalukan kek gini;cyberbullying;
besar tetek nya;cyberbullying;
biar apa coba muka kayak gitu biar di hujat terus masuk youtube nangis nangis;cyberbullying;
bibir nya jelek;cyberbullying;
bibir nya kayak bol ayam ;cyberbullying;
bibirnya kayak disedot belut listrik;cyberbullying;
bibirnya kayak lagi di sengat tawon ya mas;cyberbullying;
bikin malu negara saja bajingan bangsat;cyberbullying;
bilangnya seksi dari lahir lu dari bayi nyedotin asi lu sendiri;cyberbullying;
bodo amat anjing;cyberbullying;
bokongnya keras amat kayanya isinya apa mas fattah;cyberbullying;
boneka santet;cyberbullying;
boneka tidak bisa di suruh tolol kalau robot bisa;cyberbullying;
botolnya lebih cantik dari pada keke canda;cyberbullying;
brengsek kau babi;cyberbullying;
btw kalau da kyung nya kayak gini tae oh mungkin tidak bakal selingkuh ya;cyberbullying;
buatan manusia aja bangga putus urat malu ini orang;cyberbullying;
bude muka lu ga ada yang berubah woy anjir;cyberbullying;
buluk banget lu dasar banci;cyberbullying;
buntelan boneka mampang;cyberbullying;
buntelan kentut makin hari mkin ingin dihujat memang ya;cyberbullying;
buset itu mulut atau sarang tawon;cyberbullying;
cabut kau key tidak normal kau jadi manusia;cyberbullying;
cantik banget mirip boneka santet;cyberbullying;
cantik dari lahir hasil oplas aja bangga bang fatah tu memang tidak koreksi diri ya orang bencong kok di banggain dan lu ya katanya cantik itu harus putih tidak harus putih woy coba deh lihat ariana grande hitam tapi cantik lah lu putih tapi jelek beda jauh sumpah dan cantik itu dari hati bukan dari wajah ya percuma kalau cantik tapi hatinya busuk sama aja di akhirat bakal kena karma;cyberbullying;
cantik ga harus putih yang penting perempuan lu perempuan bukan lucinta luna;cyberbullying;
cantik ga perlu harus putih yang penting perempuan catet ya mas fattah;cyberbullying;
cantik itu harus perempuan  bukan bencong;cyberbullying;
cantik itu tidak harus putih tapi perempuan tidak kayak kamu oplas;cyberbullying;
cantik sekali tapi bohong malah kayak ondel;cyberbullying;
cantik sekali tapi dari ujung sedotan;cyberbullying;
cantikan botol dari pada kekeyi;cyberbullying;
cantikan juga adik aku dan keluarga aku kamu mah cuma spotel kayak biji jagung;cyberbullying;
caper;cyberbullying;
cara makannya kayak godzila anjay;cyberbullying;
cari lagu pki keluar ini bjir;cyberbullying;
centil sekali sih pantat kebo;cyberbullying;
cie ingin sekali tenar sampai aib di umbar haha;cyberbullying;
cie keke kayak boneka santet haha;cyberbullying;
coba kamu cari lagu pki;cyberbullying;
cocok buat odong odong nih buat abang abang yang punya odong;cyberbullying;
cocok dijadiin meme tu bibirnya;cyberbullying;
cuma banci yang bisa begini ;cyberbullying;
da kyung sejak kapan bahasa korea ada aksen medok nya malah pas dia ngomong korea nya pengucapan kata kata nya salah salah lagi padahal sudah nyontek hp masih salah perkataan nya waktu ngomong korea maaf ya kekeyi buka maksud mau ngehina kalau ngomong itu tidak usah terlalu alay gimana gitu biasa saja ya;cyberbullying;
dah mati lah;cyberbullying;
jancok harus ketawa aku;cyberbullying;
dari awal tidak ada yang bilang kamu boneka jangan bandingin diri sama boneka kasihan bonekanya;cyberbullying;
dari menit suaranya agak fals serak berdarah dan berdahak mungkin kedepannya minum baygon rasa stroberi dulu biar dahak nya keluar semua serius nanya ini apaan njing;cyberbullying;
dasar banci atas sampai bawah saja palsu sok banget;cyberbullying;
dasar bencong beraninya sama perempuan ;cyberbullying;
dasar lepet;cyberbullying;
dasar pelit lu kapur barus;cyberbullying;
dengarin lagu jijik;cyberbullying;
di hujat makin menjadi jadi di nasihati tidak pernah di dengar di diamin selalu mencari sensasi untuk membuat netizen menghujatnya situ manusia apa gimana ya;cyberbullying;
di kira gw kekeyi mukbang sabun mandi sudah kayak curut aja doyan sabun;cyberbullying;
di menit mukanya seram anjing;cyberbullying;
dia lama lama sombongnya kelewatan sekali deh;cyberbullying;
dia yang nyanyi aku yang malu anjir;cyberbullying;
dulu lucinta luna kemarin cimoy sekarang boneka sawah;cyberbullying;
editor ada masalah sama kekeyi memang kekeyi orang nya ngeselin sombong sampai pamer pamer gaji di studio;cyberbullying;
editor mengerti keinginan kita kekeyi kapan ya keluar dari indonesia terbaik editornya;cyberbullying;
eh ada banci thailand;cyberbullying;
eh aku cari lagu pki muncul ini di paling pertama wah parah;cyberbullying;
eh babi;cyberbullying;
eh hati hati nanti silikonnya pecah mbak eh mas;cyberbullying;
eh kak kekeyi tolong dong kondisikan mulut sama wajah jangan di moyong moyongin jijik ;cyberbullying;
eh lagu lu enak tapi kalau lu yang nyayi jago hancur dasar ga ngerhargai orang yang kerja keras cuman di bayar ribu lu itu pelit apa ga punya uang sih;cyberbullying;
eh monyet dari tadi posting terus berisik tolol;cyberbullying;
